"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "PostCSS", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\my-listings\projects\edit\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 129, 0, 0, 0, 0, 2, 25, 156
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\my-listings\projects\view\[id]\components\ProjectsViewClient.tsx", "TypeScript JSX", 0, 0, 0, 528, 0, 0, 0, 0, 14, 40, 582
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\my-listings\projects\view\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 1, 12, 87
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\notifications\components\NotificationClient.tsx", "TypeScript JSX", 0, 0, 0, 365, 0, 0, 0, 0, 9, 30, 404
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\notifications\page.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 1, 8, 37
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 227, 0, 0, 0, 0, 1, 22, 250
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\add-business\actions.ts", "TypeScript", 0, 0, 602, 0, 0, 0, 0, 0, 36, 91, 729
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\add-business\business-form-types.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 5, 10, 80
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\add-business\components\AddBusinessClient.tsx", "TypeScript JSX", 0, 0, 0, 434, 0, 0, 0, 0, 16, 33, 483
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\add-business\components\ImageUpload.tsx", "TypeScript JSX", 0, 0, 0, 181, 0, 0, 0, 0, 5, 16, 202
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\add-business\components\steps\BusinessInformationStep.tsx", "TypeScript JSX", 0, 0, 0, 195, 0, 0, 0, 0, 2, 15, 212
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\add-business\components\steps\DetailsStep.tsx", "TypeScript JSX", 0, 0, 0, 173, 0, 0, 0, 0, 3, 10, 186
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\add-business\components\steps\LocationContactsStep.tsx", "TypeScript JSX", 0, 0, 0, 494, 0, 0, 0, 0, 8, 25, 527
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\add-business\components\steps\ReviewStep.tsx", "TypeScript JSX", 0, 0, 0, 367, 0, 0, 0, 0, 29, 22, 418
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\add-business\components\steps\ServicesOperationsStep.tsx", "TypeScript JSX", 0, 0, 0, 311, 0, 0, 0, 0, 3, 19, 333
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\add-business\page.tsx", "TypeScript JSX", 0, 0, 0, 61, 0, 0, 0, 0, 2, 12, 75
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\components\BusinessCard.tsx", "TypeScript JSX", 0, 0, 0, 283, 0, 0, 0, 0, 8, 16, 307
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\components\MyBusinessesClient.tsx", "TypeScript JSX", 0, 0, 0, 152, 0, 0, 0, 0, 4, 21, 177
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\edit\[id]\components\EditBusinessClient.tsx", "TypeScript JSX", 0, 0, 0, 463, 0, 0, 0, 0, 1, 41, 505
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\edit\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 132, 0, 0, 0, 0, 1, 22, 155
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\page.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 1, 8, 33
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\view\[id]\components\BusinessStandardLayout.tsx", "TypeScript JSX", 0, 0, 0, 738, 0, 0, 0, 0, 12, 40, 790
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\view\[id]\components\BusinessTabbedLayout.tsx", "TypeScript JSX", 0, 0, 0, 588, 0, 0, 0, 0, 3, 51, 642
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\view\[id]\components\BusinessViewClient.tsx", "TypeScript JSX", 0, 0, 0, 231, 0, 0, 0, 0, 8, 21, 260
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\business-profiles\view\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 5, 10, 62
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\components\ProfileClient.tsx", "TypeScript JSX", 0, 0, 0, 575, 0, 0, 0, 0, 16, 43, 634
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\edit\components\steps\EditProfileClient.tsx", "TypeScript JSX", 0, 0, 0, 379, 0, 0, 0, 0, 17, 44, 440
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\edit\components\steps\GalleryStep.tsx", "TypeScript JSX", 0, 0, 0, 276, 0, 0, 0, 0, 3, 18, 297
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\edit\components\steps\LocationAvailabilityStep.tsx", "TypeScript JSX", 0, 0, 0, 173, 0, 0, 0, 0, 1, 18, 192
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\edit\components\steps\ReviewStep.tsx", "TypeScript JSX", 0, 0, 0, 485, 0, 0, 0, 0, 22, 39, 546
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\edit\components\steps\SkillsCredentialsStep.tsx", "TypeScript JSX", 0, 0, 0, 292, 0, 0, 0, 0, 6, 24, 322
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\edit\components\steps\TradeDetailsStep.tsx", "TypeScript JSX", 0, 0, 0, 149, 0, 0, 0, 0, 1, 14, 164
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\edit\components\steps\UserInfoStep.tsx", "TypeScript JSX", 0, 0, 0, 189, 0, 0, 0, 0, 6, 19, 214
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 1, 9, 34
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 1, 9, 34
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\profile-actions.ts", "TypeScript", 0, 0, 286, 0, 0, 0, 0, 0, 17, 49, 352
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\profiles\profile\types\profile-types.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 7, 8, 72
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\settings\actions.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 4, 11, 57
"c:\Users\colli\OneDrive\Desktop\tradirise-web-nz\src\app\(dashboard)\settings\components\SettingsClient.tsx", "TypeScript JSX", 0, 0, 0, 669, 0, 0, 0, 0, 23, 52, 744
